,X_test (sequence),y_test
0,"0.6545,0.6474,0.7082,0.7415,0.7389,0.7133,0.7389,0.7072,0.8002,0.7594,0.6857,0.4725,0.6,0.5836,0.592,0.5876,0.5866,0.5957,0.5833,0.589,0.6288,0.7386,0.6495,0.6502",0.6345
1,"0.6474,0.7082,0.7415,0.7389,0.7133,0.7389,0.7072,0.8002,0.7594,0.6857,0.4725,0.6,0.5836,0.592,0.5876,0.5866,0.5957,0.5833,0.589,0.6288,0.7386,0.6495,0.6502,0.6345",0.5692
2,"0.7082,0.7415,0.7389,0.7133,0.7389,0.7072,0.8002,0.7594,0.6857,0.4725,0.6,0.5836,0.592,0.5876,0.5866,0.5957,0.5833,0.589,0.6288,0.7386,0.6495,0.6502,0.6345,0.5692",0.5826
3,"0.7415,0.7389,0.7133,0.7389,0.7072,0.8002,0.7594,0.6857,0.4725,0.6,0.5836,0.592,0.5876,0.5866,0.5957,0.5833,0.589,0.6288,0.7386,0.6495,0.6502,0.6345,0.5692,0.5826",0.5662
4,"0.7389,0.7133,0.7389,0.7072,0.8002,0.7594,0.6857,0.4725,0.6,0.5836,0.592,0.5876,0.5866,0.5957,0.5833,0.589,0.6288,0.7386,0.6495,0.6502,0.6345,0.5692,0.5826,0.5662",0.5907
5,"0.7133,0.7389,0.7072,0.8002,0.7594,0.6857,0.4725,0.6,0.5836,0.592,0.5876,0.5866,0.5957,0.5833,0.589,0.6288,0.7386,0.6495,0.6502,0.6345,0.5692,0.5826,0.5662,0.5907",0.5836
6,"0.7389,0.7072,0.8002,0.7594,0.6857,0.4725,0.6,0.5836,0.592,0.5876,0.5866,0.5957,0.5833,0.589,0.6288,0.7386,0.6495,0.6502,0.6345,0.5692,0.5826,0.5662,0.5907,0.5836",0.5766
7,"0.7072,0.8002,0.7594,0.6857,0.4725,0.6,0.5836,0.592,0.5876,0.5866,0.5957,0.5833,0.589,0.6288,0.7386,0.6495,0.6502,0.6345,0.5692,0.5826,0.5662,0.5907,0.5836,0.5766",0.5418
8,"0.8002,0.7594,0.6857,0.4725,0.6,0.5836,0.592,0.5876,0.5866,0.5957,0.5833,0.589,0.6288,0.7386,0.6495,0.6502,0.6345,0.5692,0.5826,0.5662,0.5907,0.5836,0.5766,0.5418",0.5431
9,"0.7594,0.6857,0.4725,0.6,0.5836,0.592,0.5876,0.5866,0.5957,0.5833,0.589,0.6288,0.7386,0.6495,0.6502,0.6345,0.5692,0.5826,0.5662,0.5907,0.5836,0.5766,0.5418,0.5431",0.5495
10,"0.6857,0.4725,0.6,0.5836,0.592,0.5876,0.5866,0.5957,0.5833,0.589,0.6288,0.7386,0.6495,0.6502,0.6345,0.5692,0.5826,0.5662,0.5907,0.5836,0.5766,0.5418,0.5431,0.5495",0.5237
11,"0.4725,0.6,0.5836,0.592,0.5876,0.5866,0.5957,0.5833,0.589,0.6288,0.7386,0.6495,0.6502,0.6345,0.5692,0.5826,0.5662,0.5907,0.5836,0.5766,0.5418,0.5431,0.5495,0.5237",0.4896
12,"0.6,0.5836,0.592,0.5876,0.5866,0.5957,0.5833,0.589,0.6288,0.7386,0.6495,0.6502,0.6345,0.5692,0.5826,0.5662,0.5907,0.5836,0.5766,0.5418,0.5431,0.5495,0.5237,0.4896",0.4591
13,"0.5836,0.592,0.5876,0.5866,0.5957,0.5833,0.589,0.6288,0.7386,0.6495,0.6502,0.6345,0.5692,0.5826,0.5662,0.5907,0.5836,0.5766,0.5418,0.5431,0.5495,0.5237,0.4896,0.4591",0.3771
14,"0.592,0.5876,0.5866,0.5957,0.5833,0.589,0.6288,0.7386,0.6495,0.6502,0.6345,0.5692,0.5826,0.5662,0.5907,0.5836,0.5766,0.5418,0.5431,0.5495,0.5237,0.4896,0.4591,0.3771",0.3751
15,"0.5876,0.5866,0.5957,0.5833,0.589,0.6288,0.7386,0.6495,0.6502,0.6345,0.5692,0.5826,0.5662,0.5907,0.5836,0.5766,0.5418,0.5431,0.5495,0.5237,0.4896,0.4591,0.3771,0.3751",0.3694
16,"0.5866,0.5957,0.5833,0.589,0.6288,0.7386,0.6495,0.6502,0.6345,0.5692,0.5826,0.5662,0.5907,0.5836,0.5766,0.5418,0.5431,0.5495,0.5237,0.4896,0.4591,0.3771,0.3751,0.3694",0.3627
17,"0.5957,0.5833,0.589,0.6288,0.7386,0.6495,0.6502,0.6345,0.5692,0.5826,0.5662,0.5907,0.5836,0.5766,0.5418,0.5431,0.5495,0.5237,0.4896,0.4591,0.3771,0.3751,0.3694,0.3627",0.3496
18,"0.5833,0.589,0.6288,0.7386,0.6495,0.6502,0.6345,0.5692,0.5826,0.5662,0.5907,0.5836,0.5766,0.5418,0.5431,0.5495,0.5237,0.4896,0.4591,0.3771,0.3751,0.3694,0.3627,0.3496",0.3366
19,"0.589,0.6288,0.7386,0.6495,0.6502,0.6345,0.5692,0.5826,0.5662,0.5907,0.5836,0.5766,0.5418,0.5431,0.5495,0.5237,0.4896,0.4591,0.3771,0.3751,0.3694,0.3627,0.3496,0.3366",0.3878
20,"0.6288,0.7386,0.6495,0.6502,0.6345,0.5692,0.5826,0.5662,0.5907,0.5836,0.5766,0.5418,0.5431,0.5495,0.5237,0.4896,0.4591,0.3771,0.3751,0.3694,0.3627,0.3496,0.3366,0.3878",0.4604
21,"0.7386,0.6495,0.6502,0.6345,0.5692,0.5826,0.5662,0.5907,0.5836,0.5766,0.5418,0.5431,0.5495,0.5237,0.4896,0.4591,0.3771,0.3751,0.3694,0.3627,0.3496,0.3366,0.3878,0.4604",0.4186
22,"0.6495,0.6502,0.6345,0.5692,0.5826,0.5662,0.5907,0.5836,0.5766,0.5418,0.5431,0.5495,0.5237,0.4896,0.4591,0.3771,0.3751,0.3694,0.3627,0.3496,0.3366,0.3878,0.4604,0.4186",0.5357
23,"0.6502,0.6345,0.5692,0.5826,0.5662,0.5907,0.5836,0.5766,0.5418,0.5431,0.5495,0.5237,0.4896,0.4591,0.3771,0.3751,0.3694,0.3627,0.3496,0.3366,0.3878,0.4604,0.4186,0.5357",0.4902
24,"0.6345,0.5692,0.5826,0.5662,0.5907,0.5836,0.5766,0.5418,0.5431,0.5495,0.5237,0.4896,0.4591,0.3771,0.3751,0.3694,0.3627,0.3496,0.3366,0.3878,0.4604,0.4186,0.5357,0.4902",0.4752
25,"0.5692,0.5826,0.5662,0.5907,0.5836,0.5766,0.5418,0.5431,0.5495,0.5237,0.4896,0.4591,0.3771,0.3751,0.3694,0.3627,0.3496,0.3366,0.3878,0.4604,0.4186,0.5357,0.4902,0.4752",0.4735
26,"0.5826,0.5662,0.5907,0.5836,0.5766,0.5418,0.5431,0.5495,0.5237,0.4896,0.4591,0.3771,0.3751,0.3694,0.3627,0.3496,0.3366,0.3878,0.4604,0.4186,0.5357,0.4902,0.4752,0.4735",0.4186
27,"0.5662,0.5907,0.5836,0.5766,0.5418,0.5431,0.5495,0.5237,0.4896,0.4591,0.3771,0.3751,0.3694,0.3627,0.3496,0.3366,0.3878,0.4604,0.4186,0.5357,0.4902,0.4752,0.4735,0.4186",0.3961
28,"0.5907,0.5836,0.5766,0.5418,0.5431,0.5495,0.5237,0.4896,0.4591,0.3771,0.3751,0.3694,0.3627,0.3496,0.3366,0.3878,0.4604,0.4186,0.5357,0.4902,0.4752,0.4735,0.4186,0.3961",0.4008
29,"0.5836,0.5766,0.5418,0.5431,0.5495,0.5237,0.4896,0.4591,0.3771,0.3751,0.3694,0.3627,0.3496,0.3366,0.3878,0.4604,0.4186,0.5357,0.4902,0.4752,0.4735,0.4186,0.3961,0.4008",0.4206
30,"0.5766,0.5418,0.5431,0.5495,0.5237,0.4896,0.4591,0.3771,0.3751,0.3694,0.3627,0.3496,0.3366,0.3878,0.4604,0.4186,0.5357,0.4902,0.4752,0.4735,0.4186,0.3961,0.4008,0.4206",0.4186
31,"0.5418,0.5431,0.5495,0.5237,0.4896,0.4591,0.3771,0.3751,0.3694,0.3627,0.3496,0.3366,0.3878,0.4604,0.4186,0.5357,0.4902,0.4752,0.4735,0.4186,0.3961,0.4008,0.4206,0.4186",0.4149
32,"0.5431,0.5495,0.5237,0.4896,0.4591,0.3771,0.3751,0.3694,0.3627,0.3496,0.3366,0.3878,0.4604,0.4186,0.5357,0.4902,0.4752,0.4735,0.4186,0.3961,0.4008,0.4206,0.4186,0.4149",0.3825
33,"0.5495,0.5237,0.4896,0.4591,0.3771,0.3751,0.3694,0.3627,0.3496,0.3366,0.3878,0.4604,0.4186,0.5357,0.4902,0.4752,0.4735,0.4186,0.3961,0.4008,0.4206,0.4186,0.4149,0.3825",0.3868
34,"0.5237,0.4896,0.4591,0.3771,0.3751,0.3694,0.3627,0.3496,0.3366,0.3878,0.4604,0.4186,0.5357,0.4902,0.4752,0.4735,0.4186,0.3961,0.4008,0.4206,0.4186,0.4149,0.3825,0.3868",0.4343
35,"0.4896,0.4591,0.3771,0.3751,0.3694,0.3627,0.3496,0.3366,0.3878,0.4604,0.4186,0.5357,0.4902,0.4752,0.4735,0.4186,0.3961,0.4008,0.4206,0.4186,0.4149,0.3825,0.3868,0.4343",0.4343
36,"0.4591,0.3771,0.3751,0.3694,0.3627,0.3496,0.3366,0.3878,0.4604,0.4186,0.5357,0.4902,0.4752,0.4735,0.4186,0.3961,0.4008,0.4206,0.4186,0.4149,0.3825,0.3868,0.4343,0.4343",0.4624
37,"0.3771,0.3751,0.3694,0.3627,0.3496,0.3366,0.3878,0.4604,0.4186,0.5357,0.4902,0.4752,0.4735,0.4186,0.3961,0.4008,0.4206,0.4186,0.4149,0.3825,0.3868,0.4343,0.4343,0.4624",0.4765
38,"0.3751,0.3694,0.3627,0.3496,0.3366,0.3878,0.4604,0.4186,0.5357,0.4902,0.4752,0.4735,0.4186,0.3961,0.4008,0.4206,0.4186,0.4149,0.3825,0.3868,0.4343,0.4343,0.4624,0.4765",0.5284
39,"0.3694,0.3627,0.3496,0.3366,0.3878,0.4604,0.4186,0.5357,0.4902,0.4752,0.4735,0.4186,0.3961,0.4008,0.4206,0.4186,0.4149,0.3825,0.3868,0.4343,0.4343,0.4624,0.4765,0.5284",0.4618
40,"0.3627,0.3496,0.3366,0.3878,0.4604,0.4186,0.5357,0.4902,0.4752,0.4735,0.4186,0.3961,0.4008,0.4206,0.4186,0.4149,0.3825,0.3868,0.4343,0.4343,0.4624,0.4765,0.5284,0.4618",0.556
41,"0.3496,0.3366,0.3878,0.4604,0.4186,0.5357,0.4902,0.4752,0.4735,0.4186,0.3961,0.4008,0.4206,0.4186,0.4149,0.3825,0.3868,0.4343,0.4343,0.4624,0.4765,0.5284,0.4618,0.556",0.533
42,"0.3366,0.3878,0.4604,0.4186,0.5357,0.4902,0.4752,0.4735,0.4186,0.3961,0.4008,0.4206,0.4186,0.4149,0.3825,0.3868,0.4343,0.4343,0.4624,0.4765,0.5284,0.4618,0.556,0.533",0.5475
43,"0.3878,0.4604,0.4186,0.5357,0.4902,0.4752,0.4735,0.4186,0.3961,0.4008,0.4206,0.4186,0.4149,0.3825,0.3868,0.4343,0.4343,0.4624,0.4765,0.5284,0.4618,0.556,0.533,0.5475",0.5825
44,"0.4604,0.4186,0.5357,0.4902,0.4752,0.4735,0.4186,0.3961,0.4008,0.4206,0.4186,0.4149,0.3825,0.3868,0.4343,0.4343,0.4624,0.4765,0.5284,0.4618,0.556,0.533,0.5475,0.5825",0.6062
45,"0.4186,0.5357,0.4902,0.4752,0.4735,0.4186,0.3961,0.4008,0.4206,0.4186,0.4149,0.3825,0.3868,0.4343,0.4343,0.4624,0.4765,0.5284,0.4618,0.556,0.533,0.5475,0.5825,0.6062",0.5489
46,"0.5357,0.4902,0.4752,0.4735,0.4186,0.3961,0.4008,0.4206,0.4186,0.4149,0.3825,0.3868,0.4343,0.4343,0.4624,0.4765,0.5284,0.4618,0.556,0.533,0.5475,0.5825,0.6062,0.5489",0.5828
47,"0.4902,0.4752,0.4735,0.4186,0.3961,0.4008,0.4206,0.4186,0.4149,0.3825,0.3868,0.4343,0.4343,0.4624,0.4765,0.5284,0.4618,0.556,0.533,0.5475,0.5825,0.6062,0.5489,0.5828",0.5797
48,"0.4752,0.4735,0.4186,0.3961,0.4008,0.4206,0.4186,0.4149,0.3825,0.3868,0.4343,0.4343,0.4624,0.4765,0.5284,0.4618,0.556,0.533,0.5475,0.5825,0.6062,0.5489,0.5828,0.5797",0.5404
49,"0.4735,0.4186,0.3961,0.4008,0.4206,0.4186,0.4149,0.3825,0.3868,0.4343,0.4343,0.4624,0.4765,0.5284,0.4618,0.556,0.533,0.5475,0.5825,0.6062,0.5489,0.5828,0.5797,0.5404",0.4937
50,"0.4186,0.3961,0.4008,0.4206,0.4186,0.4149,0.3825,0.3868,0.4343,0.4343,0.4624,0.4765,0.5284,0.4618,0.556,0.533,0.5475,0.5825,0.6062,0.5489,0.5828,0.5797,0.5404,0.4937",0.4948
51,"0.3961,0.4008,0.4206,0.4186,0.4149,0.3825,0.3868,0.4343,0.4343,0.4624,0.4765,0.5284,0.4618,0.556,0.533,0.5475,0.5825,0.6062,0.5489,0.5828,0.5797,0.5404,0.4937,0.4948",0.4955
52,"0.4008,0.4206,0.4186,0.4149,0.3825,0.3868,0.4343,0.4343,0.4624,0.4765,0.5284,0.4618,0.556,0.533,0.5475,0.5825,0.6062,0.5489,0.5828,0.5797,0.5404,0.4937,0.4948,0.4955",0.5238
53,"0.4206,0.4186,0.4149,0.3825,0.3868,0.4343,0.4343,0.4624,0.4765,0.5284,0.4618,0.556,0.533,0.5475,0.5825,0.6062,0.5489,0.5828,0.5797,0.5404,0.4937,0.4948,0.4955,0.5238",0.511
54,"0.4186,0.4149,0.3825,0.3868,0.4343,0.4343,0.4624,0.4765,0.5284,0.4618,0.556,0.533,0.5475,0.5825,0.6062,0.5489,0.5828,0.5797,0.5404,0.4937,0.4948,0.4955,0.5238,0.511",0.4863
55,"0.4149,0.3825,0.3868,0.4343,0.4343,0.4624,0.4765,0.5284,0.4618,0.556,0.533,0.5475,0.5825,0.6062,0.5489,0.5828,0.5797,0.5404,0.4937,0.4948,0.4955,0.5238,0.511,0.4863",0.5043
56,"0.3825,0.3868,0.4343,0.4343,0.4624,0.4765,0.5284,0.4618,0.556,0.533,0.5475,0.5825,0.6062,0.5489,0.5828,0.5797,0.5404,0.4937,0.4948,0.4955,0.5238,0.511,0.4863,0.5043",0.4845
57,"0.3868,0.4343,0.4343,0.4624,0.4765,0.5284,0.4618,0.556,0.533,0.5475,0.5825,0.6062,0.5489,0.5828,0.5797,0.5404,0.4937,0.4948,0.4955,0.5238,0.511,0.4863,0.5043,0.4845",0.4513
58,"0.4343,0.4343,0.4624,0.4765,0.5284,0.4618,0.556,0.533,0.5475,0.5825,0.6062,0.5489,0.5828,0.5797,0.5404,0.4937,0.4948,0.4955,0.5238,0.511,0.4863,0.5043,0.4845,0.4513",0.4615
59,"0.4343,0.4624,0.4765,0.5284,0.4618,0.556,0.533,0.5475,0.5825,0.6062,0.5489,0.5828,0.5797,0.5404,0.4937,0.4948,0.4955,0.5238,0.511,0.4863,0.5043,0.4845,0.4513,0.4615",0.5025
60,"0.4624,0.4765,0.5284,0.4618,0.556,0.533,0.5475,0.5825,0.6062,0.5489,0.5828,0.5797,0.5404,0.4937,0.4948,0.4955,0.5238,0.511,0.4863,0.5043,0.4845,0.4513,0.4615,0.5025",0.5439
61,"0.4765,0.5284,0.4618,0.556,0.533,0.5475,0.5825,0.6062,0.5489,0.5828,0.5797,0.5404,0.4937,0.4948,0.4955,0.5238,0.511,0.4863,0.5043,0.4845,0.4513,0.4615,0.5025,0.5439",0.4573
62,"0.5284,0.4618,0.556,0.533,0.5475,0.5825,0.6062,0.5489,0.5828,0.5797,0.5404,0.4937,0.4948,0.4955,0.5238,0.511,0.4863,0.5043,0.4845,0.4513,0.4615,0.5025,0.5439,0.4573",0.469
63,"0.4618,0.556,0.533,0.5475,0.5825,0.6062,0.5489,0.5828,0.5797,0.5404,0.4937,0.4948,0.4955,0.5238,0.511,0.4863,0.5043,0.4845,0.4513,0.4615,0.5025,0.5439,0.4573,0.469",0.5277
64,"0.556,0.533,0.5475,0.5825,0.6062,0.5489,0.5828,0.5797,0.5404,0.4937,0.4948,0.4955,0.5238,0.511,0.4863,0.5043,0.4845,0.4513,0.4615,0.5025,0.5439,0.4573,0.469,0.5277",0.5733
65,"0.533,0.5475,0.5825,0.6062,0.5489,0.5828,0.5797,0.5404,0.4937,0.4948,0.4955,0.5238,0.511,0.4863,0.5043,0.4845,0.4513,0.4615,0.5025,0.5439,0.4573,0.469,0.5277,0.5733",0.5549
66,"0.5475,0.5825,0.6062,0.5489,0.5828,0.5797,0.5404,0.4937,0.4948,0.4955,0.5238,0.511,0.4863,0.5043,0.4845,0.4513,0.4615,0.5025,0.5439,0.4573,0.469,0.5277,0.5733,0.5549",0.5294
67,"0.5825,0.6062,0.5489,0.5828,0.5797,0.5404,0.4937,0.4948,0.4955,0.5238,0.511,0.4863,0.5043,0.4845,0.4513,0.4615,0.5025,0.5439,0.4573,0.469,0.5277,0.5733,0.5549,0.5294",0.563
68,"0.6062,0.5489,0.5828,0.5797,0.5404,0.4937,0.4948,0.4955,0.5238,0.511,0.4863,0.5043,0.4845,0.4513,0.4615,0.5025,0.5439,0.4573,0.469,0.5277,0.5733,0.5549,0.5294,0.563",0.5344
69,"0.5489,0.5828,0.5797,0.5404,0.4937,0.4948,0.4955,0.5238,0.511,0.4863,0.5043,0.4845,0.4513,0.4615,0.5025,0.5439,0.4573,0.469,0.5277,0.5733,0.5549,0.5294,0.563,0.5344",0.5072
70,"0.5828,0.5797,0.5404,0.4937,0.4948,0.4955,0.5238,0.511,0.4863,0.5043,0.4845,0.4513,0.4615,0.5025,0.5439,0.4573,0.469,0.5277,0.5733,0.5549,0.5294,0.563,0.5344,0.5072",0.5301
71,"0.5797,0.5404,0.4937,0.4948,0.4955,0.5238,0.511,0.4863,0.5043,0.4845,0.4513,0.4615,0.5025,0.5439,0.4573,0.469,0.5277,0.5733,0.5549,0.5294,0.563,0.5344,0.5072,0.5301",0.5181
72,"0.5404,0.4937,0.4948,0.4955,0.5238,0.511,0.4863,0.5043,0.4845,0.4513,0.4615,0.5025,0.5439,0.4573,0.469,0.5277,0.5733,0.5549,0.5294,0.563,0.5344,0.5072,0.5301,0.5181",0.5096
73,"0.4937,0.4948,0.4955,0.5238,0.511,0.4863,0.5043,0.4845,0.4513,0.4615,0.5025,0.5439,0.4573,0.469,0.5277,0.5733,0.5549,0.5294,0.563,0.5344,0.5072,0.5301,0.5181,0.5096",0.5082
74,"0.4948,0.4955,0.5238,0.511,0.4863,0.5043,0.4845,0.4513,0.4615,0.5025,0.5439,0.4573,0.469,0.5277,0.5733,0.5549,0.5294,0.563,0.5344,0.5072,0.5301,0.5181,0.5096,0.5082",0.533
75,"0.4955,0.5238,0.511,0.4863,0.5043,0.4845,0.4513,0.4615,0.5025,0.5439,0.4573,0.469,0.5277,0.5733,0.5549,0.5294,0.563,0.5344,0.5072,0.5301,0.5181,0.5096,0.5082,0.533",0.4743
76,"0.5238,0.511,0.4863,0.5043,0.4845,0.4513,0.4615,0.5025,0.5439,0.4573,0.469,0.5277,0.5733,0.5549,0.5294,0.563,0.5344,0.5072,0.5301,0.5181,0.5096,0.5082,0.533,0.4743",0.4435
77,"0.511,0.4863,0.5043,0.4845,0.4513,0.4615,0.5025,0.5439,0.4573,0.469,0.5277,0.5733,0.5549,0.5294,0.563,0.5344,0.5072,0.5301,0.5181,0.5096,0.5082,0.533,0.4743,0.4435",0.4368
78,"0.4863,0.5043,0.4845,0.4513,0.4615,0.5025,0.5439,0.4573,0.469,0.5277,0.5733,0.5549,0.5294,0.563,0.5344,0.5072,0.5301,0.5181,0.5096,0.5082,0.533,0.4743,0.4435,0.4368",0.4591
79,"0.5043,0.4845,0.4513,0.4615,0.5025,0.5439,0.4573,0.469,0.5277,0.5733,0.5549,0.5294,0.563,0.5344,0.5072,0.5301,0.5181,0.5096,0.5082,0.533,0.4743,0.4435,0.4368,0.4591",0.4778
80,"0.4845,0.4513,0.4615,0.5025,0.5439,0.4573,0.469,0.5277,0.5733,0.5549,0.5294,0.563,0.5344,0.5072,0.5301,0.5181,0.5096,0.5082,0.533,0.4743,0.4435,0.4368,0.4591,0.4778",0.4976
81,"0.4513,0.4615,0.5025,0.5439,0.4573,0.469,0.5277,0.5733,0.5549,0.5294,0.563,0.5344,0.5072,0.5301,0.5181,0.5096,0.5082,0.533,0.4743,0.4435,0.4368,0.4591,0.4778,0.4976",0.4966
82,"0.4615,0.5025,0.5439,0.4573,0.469,0.5277,0.5733,0.5549,0.5294,0.563,0.5344,0.5072,0.5301,0.5181,0.5096,0.5082,0.533,0.4743,0.4435,0.4368,0.4591,0.4778,0.4976,0.4966",0.4888
83,"0.5025,0.5439,0.4573,0.469,0.5277,0.5733,0.5549,0.5294,0.563,0.5344,0.5072,0.5301,0.5181,0.5096,0.5082,0.533,0.4743,0.4435,0.4368,0.4591,0.4778,0.4976,0.4966,0.4888",0.4831
84,"0.5439,0.4573,0.469,0.5277,0.5733,0.5549,0.5294,0.563,0.5344,0.5072,0.5301,0.5181,0.5096,0.5082,0.533,0.4743,0.4435,0.4368,0.4591,0.4778,0.4976,0.4966,0.4888,0.4831",0.464
85,"0.4573,0.469,0.5277,0.5733,0.5549,0.5294,0.563,0.5344,0.5072,0.5301,0.5181,0.5096,0.5082,0.533,0.4743,0.4435,0.4368,0.4591,0.4778,0.4976,0.4966,0.4888,0.4831,0.464",0.4453
86,"0.469,0.5277,0.5733,0.5549,0.5294,0.563,0.5344,0.5072,0.5301,0.5181,0.5096,0.5082,0.533,0.4743,0.4435,0.4368,0.4591,0.4778,0.4976,0.4966,0.4888,0.4831,0.464,0.4453",0.4828
87,"0.5277,0.5733,0.5549,0.5294,0.563,0.5344,0.5072,0.5301,0.5181,0.5096,0.5082,0.533,0.4743,0.4435,0.4368,0.4591,0.4778,0.4976,0.4966,0.4888,0.4831,0.464,0.4453,0.4828",0.3943
88,"0.5733,0.5549,0.5294,0.563,0.5344,0.5072,0.5301,0.5181,0.5096,0.5082,0.533,0.4743,0.4435,0.4368,0.4591,0.4778,0.4976,0.4966,0.4888,0.4831,0.464,0.4453,0.4828,0.3943",0.4265
89,"0.5549,0.5294,0.563,0.5344,0.5072,0.5301,0.5181,0.5096,0.5082,0.533,0.4743,0.4435,0.4368,0.4591,0.4778,0.4976,0.4966,0.4888,0.4831,0.464,0.4453,0.4828,0.3943,0.4265",0.4453
90,"0.5294,0.563,0.5344,0.5072,0.5301,0.5181,0.5096,0.5082,0.533,0.4743,0.4435,0.4368,0.4591,0.4778,0.4976,0.4966,0.4888,0.4831,0.464,0.4453,0.4828,0.3943,0.4265,0.4453",0.453
91,"0.563,0.5344,0.5072,0.5301,0.5181,0.5096,0.5082,0.533,0.4743,0.4435,0.4368,0.4591,0.4778,0.4976,0.4966,0.4888,0.4831,0.464,0.4453,0.4828,0.3943,0.4265,0.4453,0.453",0.4368
92,"0.5344,0.5072,0.5301,0.5181,0.5096,0.5082,0.533,0.4743,0.4435,0.4368,0.4591,0.4778,0.4976,0.4966,0.4888,0.4831,0.464,0.4453,0.4828,0.3943,0.4265,0.4453,0.453,0.4368",0.4545
93,"0.5072,0.5301,0.5181,0.5096,0.5082,0.533,0.4743,0.4435,0.4368,0.4591,0.4778,0.4976,0.4966,0.4888,0.4831,0.464,0.4453,0.4828,0.3943,0.4265,0.4453,0.453,0.4368,0.4545",0.5948
94,"0.5301,0.5181,0.5096,0.5082,0.533,0.4743,0.4435,0.4368,0.4591,0.4778,0.4976,0.4966,0.4888,0.4831,0.464,0.4453,0.4828,0.3943,0.4265,0.4453,0.453,0.4368,0.4545,0.5948",0.565
95,"0.5181,0.5096,0.5082,0.533,0.4743,0.4435,0.4368,0.4591,0.4778,0.4976,0.4966,0.4888,0.4831,0.464,0.4453,0.4828,0.3943,0.4265,0.4453,0.453,0.4368,0.4545,0.5948,0.565",0.5098
